"a","ad.","one"
"a","ad.","any"
"a","ad.","each"
"able","v.","having the power to do something"
"about","ad.","almost"
"about","ad.","of or having a relation to"
"above","ad.","at a higher place"
"accept","v.","to agree to receive"
"accident","n.","something that happens by chance or mistake"
"accident","n.","an unplanned event"
"accuse","v.","to say a person is responsible for an act or crime"
"accuse","v.","to make a statement against someone"
"across","ad.","from side to side"
"across","ad.","to the other side"
"act","v.","to do something"
"activist","n.","one who seeks change through action"
"actor","n.","someone acting in a play or show"
"add","v.","to put"
"add","v.","to say more"
"admit","v.","to accept"
"admit","v.","to express one's guilt or responsibility"
"adult","n.","a grown person"
"affect","v.","to produce an effect on"
"affect","v.","to influence"
"afraid","ad.","feeling fear"
"after","ad.","later"
"after","ad.","behind"
"again","ad.","another time"
"again","ad.","as before"
"against","ad.","opposed to"
"against","ad.","not agreeing with something"
"age","n.","how old a person or thing is"
"agency","n.","an organization that is part of a larger group"
"aggression","n.","an attack against a person or country"
"aggression","n.","the violation of a country's borders"
"ago","ad.","of time past"
"ago","ad.","before now"
"agree","v.","to have the same belief as someone"
"agree","v.","to be willing to do something"
"agriculture","n.","farming"
"aid","v.","to help"
"aid","v.","to support"
"aim","n.","a goal or purpose"
"aim","v.","to point a gun at"
"air force","n.","a military organization using airplanes"
"airplane","n.","a vehicle with wings that flies"
"airport","n.","a place where airplanes take off and land"
"album","n.","a collection of recorded music"
"alive","ad.","having life"
"alive","ad.","not dead"
"all","ad.","everything"
"all","ad.","everyone"
"all","ad.","the complete amount"
"ally","n.","a nation or person joined with another for a special purpose"
"almost","ad.","a little less than completely"
"alone","ad.","separated from others"
"along","ad.","near or on"
"already","ad.","before now"
"already","ad.","even now"
"also","ad.","added to"
"also","ad.","too"
"although","conj.","even if it is true that"
"always","ad.","at all times"
"always","ad.","every time"
"ambassador","n.","a nation's highest diplomatic representative"
"amend","v.","to add to or to change"
"ammunition","n.","the bullets or shells fired from guns"
"among","ad.","in or part of"
"anarchy","n.","a lack of order"
"anarchy","n.","lawlessness"
"ancestor","n.","a family member from the past"
"ancient","ad.","very old"
"ancient","ad.","long ago"
"and","conj.","also"
"and","conj.","in addition to"
"and","conj.","with"
"anger","n.","a strong emotion against someone or something"
"anniversary","n.","a yearly celebration or observance of an event that happened in the past"
"announce","v.","to make known publicly"
"announce","v.","to declare officially"
"another","ad.","one more"
"another","ad.","a different one"
"answer","n.","a statement produced by a question"
"answer","v.","to make a statement after being asked a question"
"any","ad.","one or more of no special kind"
"apologize","v.","to express regret for a mistake or accident for which one accepts responsibility"
"appeal","v.","to call on somebody for help"
"appear","v.","to show oneself"
"appear","v.","to come into sight"
"appear","v.","to seem"
"appoint","v.","to name"
"appoint","v.","to choose"
"approve","v.","to agree with"
"approve","v.","to agree to support"
"archeology","n.","the scientific study of past human life and activities"
"area","n.","any place or part of it"
"argue","v.","to offer reasons for or against something"
"argue","v.","to dispute"
"argue","v.","to disagree"
"arms","n.","military equipment"
"arms","n.","weapons"
"army","n.","military ground forces"
"around","ad.","on every side"
"arrest","v.","to seize a person for legal action"
"arrest","v.","to take as a prisoner"
"artillery","n.","big guns"
"as","conj.","equally"
